18/12 22:49:13 INFO  Runner.initLogger - --- Updater started ---
18/12 22:49:13 INFO  Runner.main - args: [batch-install, D:\WebStorm 2019.3.3, C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\tmp\patch-update\WS-193.6494.34-193.6911.28-patch-jbr11-win.jar;C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\tmp\patch-update\WS-193.6911.28-193.7288.28-patch-jbr11-win.jar]
18/12 22:49:13 INFO  Runner.main - destFolder: D:\WebStorm 2019.3.3, case-sensitive: false
18/12 22:49:14 INFO  Runner.install - Extracting patch files...
18/12 22:49:14 INFO  Runner.install - Unpacking WS-193.6494.34-193.6911.28-patch-jbr11-win.jar
18/12 22:49:15 INFO  Utils.getTempFile - created a working directory: C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530
18/12 22:49:15 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/12 22:49:15 INFO  Runner.install - Unpacking WS-193.6911.28-193.7288.28-patch-jbr11-win.jar
18/12 22:49:15 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\webstorm.exe.vmoptions -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\webstorm.exe.vmoptions
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\webstorm.ico -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\webstorm.ico
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\webstorm.svg -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\webstorm.svg
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\webstorm64.exe -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\webstorm64.exe
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\webstorm64.exe.vmoptions -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\webstorm64.exe.vmoptions
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\bin\WinProcessListHelper.exe -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\bin\WinProcessListHelper.exe
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\build.txt -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\build.txt
18/12 22:49:15 INFO  Utils$2.preVisitDirectory -   D:\WebStorm 2019.3.3\help -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\help
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\help\ReferenceCard.pdf -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\help\ReferenceCard.pdf
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\help\ReferenceCardForMac.pdf -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\help\ReferenceCardForMac.pdf
18/12 22:49:15 INFO  Utils$2.preVisitDirectory -   D:\WebStorm 2019.3.3\jbr -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr
18/12 22:49:15 INFO  Utils$2.preVisitDirectory -   D:\WebStorm 2019.3.3\jbr\bin -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-console-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-console-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-datetime-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-datetime-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-debug-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-debug-l1-1-0.dll
